ATT&CK_ID,Technique_Name,Kill_Chain_Phase,Original_Effect,Reviewer_Effect,Context,Agreement,Original_Justification,Reviewer_Justification
T1005,Data from Local System,Collection,NoEffect,NoEffect,from_compromised_device,AGREE,Local data collection on owned systems operates above crypto layer,File access on compromised system
T1560,Archive Collected Data,Collection,NoEffect,NoEffect,from_compromised_device,AGREE,Local data archiving on compromised devices independent of channels,Local file operations on owned system
T1602.001,Data from Config Repository: SNMP,Collection,NoEffect,NoEffect,from_compromised_device,AGREE,SNMP polling from owned devices bypasses channel protections,Config collection from compromised device
T1602.002,Data from Config Repository: Network Device,Collection,NoEffect,NoEffect,from_compromised_device,AGREE,Configuration dumping on compromised devices is local operation,Local config access on owned router
T1071,Application Layer Protocol,Command and Control,Prevent,NoEffect,from_compromised_device,DISAGREE,Quantum hardens application protocol channels against interception,C2 over HTTPS from compromised device is indistinguishable from legitimate traffic
T1090,Proxy,Command and Control,Prevent,NoEffect,from_compromised_device,DISAGREE,Quantum prevents unauthorized proxy establishment through channel hardening,"Proxy FROM compromised router appears legitimate, quantum cannot distinguish from valid traffic"
T1090.003,Proxy: Multi-hop Proxy,Command and Control,Prevent,NoEffect,from_compromised_device,DISAGREE,Multi-hop proxy chains blocked by quantum channel authentication,Multi-hop chains FROM owned devices use legitimate channels quantum cannot block
T1095,Non-Application Layer Protocol,Command and Control,Prevent,NoEffect,from_compromised_device,DISAGREE,Quantum protects lower-layer protocols from eavesdropping,Raw socket C2 from compromised device bypasses quantum benefits
T1571,Non-Standard Port,Command and Control,Prevent,Prevent,passive_intercept,AGREE,Quantum protects regardless of port,Quantum does prevent passive interception on any port
T1572,Protocol Tunneling,Command and Control,NoEffect,NoEffect,from_compromised_device,AGREE,Tunnels from compromised devices appear legitimate to quantum,GRE/IPSec from owned router looks legitimate
T1003,OS Credential Dumping,Credential Access,NoEffect,NoEffect,from_compromised_device,AGREE,Credential dumping from memory/files on owned devices bypasses channels,Memory/file access on compromised system
T1040,Network Sniffing,Credential Access,Prevent,NoEffect,mixed,DISAGREE,Quantum encryption prevents meaningful passive traffic interception,"On compromised routers sniffing happens pre-encryption/post-decryption, quantum only helps for passive wire taps"
T1110.002,Brute Force: Password Cracking,Credential Access,NoEffect,NoEffect,offline,AGREE,Offline cracking of weak hashes independent of network protections,Offline computation not affected by network crypto
T1556,Modify Authentication Process,Credential Access,Detect,Detect,touches_crypto,AGREE,TACACS+ redirection touches auth protocols,Strong quantum with HSM could detect auth changes
T1027,Obfuscated Files or Information,Defense Evasion,NoEffect,NoEffect,from_compromised_device,AGREE,Data obfuscation on compromised systems independent of channel security,File obfuscation is local operation
T1027.010,Obfuscated Files: Command Obfuscation,Defense Evasion,NoEffect,NoEffect,from_compromised_device,AGREE,Obfuscation techniques operate at application layer above crypto,Command encoding happens locally on owned device
T1070,Indicator Removal,Defense Evasion,NoEffect,NoEffect,from_compromised_device,AGREE,Log deletion on compromised devices operates locally not over channels,Local log manipulation on owned system
T1070.009,Indicator Removal: Clear Persistence,Defense Evasion,NoEffect,NoEffect,from_compromised_device,AGREE,Clearing persistence artifacts is local device operation,Cleanup operations on compromised device
T1562.004,Impair Defenses: Modify Firewall,Defense Evasion,NoEffect,NoEffect,from_compromised_device,AGREE,Firewall modification requires device control where quantum irrelevant,ACL/firewall changes on compromised device
T1599,Network Boundary Bridging,Defense Evasion,NoEffect,NoEffect,trust_abuse,AGREE,Peering abuse leverages trust relationships not cryptographic channels,Exploits business/operational trust not crypto
T1610,Deploy Container,Defense Evasion,NoEffect,NoEffect,from_compromised_device,AGREE,Container deployment on owned devices bypasses channel protections,Local container deployment post-compromise
T1016,System Network Configuration Discovery,Discovery,NoEffect,NoEffect,from_compromised_device,AGREE,Configuration discovery on owned devices operates locally,Reading local config files/settings
T1082,System Information Discovery,Discovery,NoEffect,NoEffect,from_compromised_device,AGREE,Local system enumeration on compromised devices above crypto layer,Local reconnaissance on owned device
T1059.006,Command and Scripting: Python,Execution,NoEffect,NoEffect,from_compromised_device,AGREE,Script execution on compromised devices operates above crypto layer,Local script execution post-compromise
T1059.008,Command and Scripting: Network Device CLI,Execution,NoEffect,NoEffect,from_compromised_device,AGREE,CLI commands on owned devices bypass any channel protections,Direct CLI access on compromised router
T1569,System Services,Execution,NoEffect,NoEffect,from_compromised_device,AGREE,Executes commands via SNMP on compromised devices where quantum is irrelevant,Post-compromise command execution
T1609,Container Administration Command,Execution,NoEffect,NoEffect,from_compromised_device,AGREE,Container operations on compromised devices bypass channel security,Local container manipulation on owned device
T1048.003,Exfiltration over Alternative Protocol,Exfiltration,Prevent,NoEffect,from_compromised_device,DISAGREE,Quantum encryption prevents readable exfiltration via alternate channels,Exfiltration FROM compromised device controls encryption endpoints
T1190,Exploit Public-Facing Application,Initial Access,NoEffect,NoEffect,device_exploit,AGREE,Exploits software vulnerabilities (CVEs) which quantum cannot prevent,CVE exploitation targets application/OS bugs not crypto
T1199,Trusted Relationship,Initial Access,NoEffect,NoEffect,trust_abuse,AGREE,Abuses legitimate access and trust relationships not cryptographic channels,Leverages business relationships not technical crypto
T1021,Remote Services,Lateral Movement,NoEffect,NoEffect,from_compromised_device,AGREE,Lateral movement via legitimate services from compromised devices,Legitimate service use from owned device
T1021.004,Remote Services: SSH,Lateral Movement,NoEffect,NoEffect,from_compromised_device,AGREE,SSH from compromised device uses legitimate protocols quantum cannot distinguish,Legitimate SSH from compromised source
T1098.004,Account Manipulation: SSH Keys,Persistence,Detect,Detect,touches_crypto,AGREE,SSH key manipulation touches cryptographic material,HSM/attestation could detect abnormal key operations
T1136.001,Create Account: Local Account,Persistence,NoEffect,NoEffect,from_compromised_device,AGREE,Local account creation on compromised device is post-exploitation activity,Local user management on owned system
T1543.005,Container Service,Persistence,NoEffect,NoEffect,from_compromised_device,AGREE,Container deployment on compromised infrastructure bypasses channel security,Container persistence on compromised device
T1068,Exploitation for Privilege Escalation,Privilege Escalation,NoEffect,NoEffect,device_exploit,AGREE,Exploits implementation vulnerabilities not cryptographic weaknesses,Local privilege escalation exploits OS/app bugs
T1590.004,Gather Victim Network Information,Reconnaissance,NoEffect,NoEffect,from_compromised_device,AGREE,Information gathering from compromised devices,Post-compromise reconnaissance from owned devices
T1595,Active Scanning,Reconnaissance,NoEffect,NoEffect,from_compromised_device,AGREE,Device interaction required for scanning,Scanning originates from compromised devices making quantum irrelevant
T1583.003,Acquire Infrastructure: VPS,Resource Development,NoEffect,NoEffect,operational,AGREE,Infrastructure acquisition is operational not cryptographic,Pre-attack infrastructure setup outside network scope
T1584.008,Compromise Infrastructure: Network Devices,Resource Development,NoEffect,NoEffect,device_exploit,AGREE,Device compromise exploits implementation flaws not cryptographic weaknesses,Targets device vulnerabilities not channel security
T1588.002,Obtain Capabilities: Tool,Resource Development,NoEffect,NoEffect,operational,AGREE,Tool acquisition occurs outside network channels quantum protects,Pre-attack preparation phase
T1588.005,Obtain Capabilities: Exploits,Resource Development,NoEffect,NoEffect,operational,AGREE,Acquiring exploit tools is operational activity outside quantum scope,Tool acquisition happens outside target network
