ATT&CK_ID,Technique_Name,Primary_Defense,Secondary_Defense,Defense_Rationale,Why_Primary_Defense_Works
T1003,OS Credential Dumping,Cryptographic Controls,Configuration Management,Collects router configs with weak Cisco Type 7 passwords,"Eliminate plaintext/weak credentials,  use strong hashing (Type 8/9),  HSM-backed credential storage"
T1005,Data from Local System,Access Control,Configuration Management,Passively collects PCAPs from specific ISP customer networks,"Restrict which roles can initiate packet capture or read local storage, log all PCAP access, DLP/monitoring can then flag bulk or unusual capture activity"
T1016,System Network Configuration Discovery,Access Control,Configuration Management,Enumerates interfaces/VRFs/routing/ACLs via CLI/SNMP,"Restrict access to configuration data,  monitor for bulk configuration queries,  SNMP v3 with encryption"
T1021,Remote Services,Access Control,Network Segmentation,Enumerates and alters SNMP configs for lateral movement,"SNMP write access restrictions,  community string rotation,  monitor for cross-device SNMP modifications"
T1021.004,Remote Services: SSH,Configuration Management,Access Control,Enables SSH servers and opens external-facing ports,"Alert on SSH server enablement,  port opening requires approval,  monitor for unexpected service activation"
T1027,Obfuscated Files or Information,Configuration Management,Access Control,Obfuscates source IPs in system logs,"Immutable logging to remote syslog,  correlate logs across devices,  detect source IP inconsistencies"
T1027.010,Obfuscated Files: Command Obfuscation,Platform Integrity,Configuration Management,Double-encodes WSMA paths to exploit device web UI,"Input validation,  web application firewall,  monitor for encoding anomalies in API requests"
T1040,Network Sniffing,Configuration Management,Access Control,Configures SPAN/ERSPAN sessions to mirror traffic,"Audit SPAN session creation,  dual approval for monitoring port configuration,  alert on new mirror sessions"
T1048.003,Exfiltration over Alternative Protocol,Network Segmentation,Cryptographic Controls,Uses tunnels (IPsec/GRE) for exfiltration,"Segmentation and egress controls restrict where GRE/IPsec tunnels can originate and terminate, egress analysis and DLP then flag anomalous or high-volume tunnel usage"
T1059.006,Command and Scripting: Python,Platform Integrity,Access Control,Executes Python scripts (siet.py) on compromised devices,"Script execution policies,  application whitelisting,  monitor for unauthorized Python interpreter usage"
T1059.008,Command and Scripting: Network Device CLI,Access Control,Configuration Management,Uses built-in CLI to execute native commands,"CLI access restrictions,  privileged EXEC mode protections,  command logging and alerting"
T1068,Exploitation for Privilege Escalation,Patch Management,Platform Integrity,Exploits CVE-2023-20273 for root privileges,"Patch CVE-2023-20273,  principle of least privilege limits post-compromise escalation impact"
T1070,Indicator Removal,Configuration Management,Platform Integrity,Deletes/clears logs to remove forensic evidence,"Immutable append-only logging to remote collectors,  tamper-evident log storage,  alert on log deletion attempts"
T1070.009,Indicator Removal: Clear Persistence,Platform Integrity,Configuration Management,Uses Guest Shell destroy command to remove artifacts,"Guest Shell monitoring and access restrictions prevent unauthorized container destruction commands, file system integrity checks detect artifact removal attempts, immutable forensic logging preserves evidence even after Guest Shell destruction"
T1071,Application Layer Protocol,Access Control,Network Segmentation,Opens SSH/SFTP/RDP/FTP/HTTP(S) for C2,"Limit who can enable or expose SSH/SFTP/RDP/FTP/HTTP(S) on infrastructure devices (RBAC and ACLs), use behavioural analytics to detect unusual or long-lived service usage"
T1082,System Information Discovery,Access Control,Configuration Management,Leverages CLI to gather system information,"CLI command restrictions, monitor for reconnaissance commands, least-privilege access reduces exposed information"
T1090,Proxy,Network Segmentation,Access Control,Uses VPS for C2 proxy,"Egress filtering and segmentation policies restrict which external hosts and networks infrastructure devices can reach, access control limits who can modify those egress policies"
T1090.003,Proxy: Multi-hop Proxy,Access Control,Platform Integrity,Builds multi-hop relay chains (e.g. STOWAWAY),"Restrict which principals can install or run additional binaries/containers on network devices, integrity monitoring and analytics then detect unexpected relay agents or daemons"
T1095,Non-Application Layer Protocol,Network Segmentation,Access Control,Uses GRE/IPsec to carry C2 over non-application protocols,"Segmentation and strict control over where GRE/IPsec can terminate limit options for non-application-layer C2, DPI then helps detect anomalous or unauthorized tunnels"
T1098.004,Account Manipulation: SSH Keys,Platform Integrity,Configuration Management,Plants SSH keys in authorized_keys for re-entry,"File-system and configuration integrity checks on network devices (including authorized_keys) detect unauthorized key additions, account and key management policies prevent ad-hoc key insertion"
T1110.002,Brute Force: Password Cracking,Cryptographic Controls,Access Control,Brute forces weak Type 5/Type 7 passwords offline,"Strong password hashing (Type 8/9), account lockout policies, eliminate weak credential storage"
T1136.001,Create Account: Local Account,Configuration Management,Platform Integrity,Creates new local users on network devices for persistence,"Centralized account governance and auditing (alerts on new or privileged local accounts) prevent stealthy persistence, integrity monitoring on device account databases detects tampering with account records"
T1190,Exploit Public-Facing Application,Patch Management,Access Control,Exploits CVE-2018-0171 and other known vulnerabilities,"Patching CVE-2018-0171 (7 years post-disclosure) eliminates exploitation vector, input validation reduces attack surface"
T1199,Trusted Relationship,Network Segmentation,Access Control,Abuses provider-to-provider and provider-customer trust,"Zero-trust architecture with mutual authentication, segment trusted interconnects with monitoring"
T1543.005,Container Service,Platform Integrity,Configuration Management,Leverages Guest Shell containers for persistence,"Container state monitoring, secure boot prevents unauthorized container deployment, attestation detects modifications"
T1556,Modify Authentication Process,Configuration Management,Cryptographic Controls,Redirects TACACS+ to attacker server or weakens AAA,"Configuration governance prevents auth changes, HSM-backed authentication with attestation detects tampering,"
T1560,Archive Collected Data,Network Segmentation,Access Control,Compiles configurations and PCAPs on compromised device,"Segmentation and egress controls limit where infrastructure devices can send archive files, egress monitoring and DLP then flag large or unusual transfers from routers"
T1562.004,Impair Defenses: Modify Firewall,Configuration Management,Access Control,Modifies ACLs to permit attacker-controlled IPs,"Signed configuration with dual approval, real-time alerting on ACL changes, immutable audit trail"
T1569,System Services,Access Control,Platform Integrity,Executes commands via SNMP on compromised devices,"Restrict SNMP write/exec privileges to tightly controlled management systems and accounts, SNMPv3 with strong authentication prevents credential theft via passive interception, monitoring flags unusual service-control commands"
T1571,Non-Standard Port,Network Segmentation,Access Control,Uses non-standard ports to evade detection,"Segmentation and egress policies strictly define which ports/services infrastructure devices may use, anomaly detection flags connections on unexpected ports"
T1572,Protocol Tunneling,Configuration Management,Network Segmentation,Creates GRE/mGRE/IPsec tunnels for C2,"Tunnel creation requires config approval, alert on new tunnel establishment, audit tunnel configurations"
T1583.003,Acquire Infrastructure: VPS,Threat Intelligence,Network Segmentation,Pre-attack infrastructure setup outside defender control,"Threat intelligence identifies known malicious VPS infrastructure, egress filtering blocks connections to suspicious Ips"
T1584.008,Compromise Infrastructure: Network Devices,Patch Management,Platform Integrity,Device compromise via software vulnerabilities,"Timely patching eliminates known CVEs, secure boot prevents unauthorized firmware"
T1588.002,Obtain Capabilities: Tool,Threat Intelligence,—,Pre-attack preparation phase outside network,"Intelligence on attacker toolkits, cannot be prevented but can inform detection strategies"
T1588.005,Obtain Capabilities: Exploits,Threat Intelligence,—,Tool acquisition happens outside target network,"Threat intelligence on known exploit frameworks, vulnerability disclosure programs reduce exploit availability"
T1590.004,Gather Victim Network Information,Access Control,Configuration Management,Topology gathering from compromised device config files,"Restrict access to configuration files, least-privilege reduces exposure of network topology information"
T1595,Active Scanning,Access Control,Network Segmentation,Scanning requires network access and reconnaissance capability,"Firewall rules and network access controls limit scanning surface, rate limiting detects reconnaissance"
T1599,Network Boundary Bridging,Network Segmentation,Access Control,Abuses peering connections to move between networks,"Peering connection auditing, monitor BGP route changes, bilateral telemetry at interconnects"
T1602.001,Data from Config Repository: SNMP,Access Control,Cryptographic Controls,Targets MIB to collect network info via SNMP,"Restrict SNMP access to management networks and least-privilege accounts, SNMPv3 with authentication and encryption prevents credential theft via passive interception"
T1602.002,Data from Config Repository: Network Device,Cryptographic Controls,Configuration Management,Acquires credentials by collecting device configurations,"Encrypt or strongly hash stored secrets in configuration files so that exfiltrated configs do not yield reusable credentials, configuration access is logged and alerted on"
T1609,Container Administration Command,Platform Integrity,Configuration Management,Uses Guest Shell container for reconnaissance and tool deployment,"Disable Guest Shell on production routers, monitor container state changes, restrict container capabilities"
T1610,Deploy Container,Platform Integrity,Configuration Management,Deploys Guest Shell to persist and evade monitoring,"Container deployment restrictions, runtime integrity verification, monitor for unexpected container activation"
